Designator,Mid X,Mid Y,Layer,Rotation
R5,65.113029,-86.942253,B,180.0
R5,87.117864,-86.942253,B,180.0
R5,43.108194,-86.942253,B,180.0
R5,21.103359,-18.776583,B,180.0
R5,43.108194,-18.776583,B,180.0
R5,87.117864,-52.859418,B,180.0
R6,21.103359,-15.376583,B,180.0
R6,87.117864,-83.542253,B,180.0
R6,65.113029,-15.376583,B,180.0
R6,21.103359,-83.542253,B,180.0
R6,87.117864,-15.376583,B,180.0
R6,65.113029,-49.459418,B,180.0
R6,43.108194,-15.376583,B,180.0
R6,43.108194,-49.459418,B,180.0
R6,87.117864,-49.459418,B,180.0
R6,21.103359,-49.459418,B,180.0
R6,65.113029,-83.542253,B,180.0
R6,43.108194,-83.542253,B,180.0
R7,65.113029,-85.842253,B,0.0
R7,87.117864,-17.676583,B,0.0
R7,43.108194,-85.842253,B,0.0
R7,87.117864,-85.842253,B,0.0
R7,65.113029,-51.759418,B,0.0
R7,21.103359,-85.842253,B,0.0
R7,65.113029,-17.676583,B,0.0
R7,21.103359,-51.759418,B,0.0
R7,87.117864,-51.759418,B,0.0
R7,21.103359,-17.676583,B,0.0
R7,43.108194,-17.676583,B,0.0
R7,43.108194,-51.759418,B,0.0
R8,65.113029,-16.476583,B,0.0
R8,65.113029,-84.642253,B,0.0
R8,87.117864,-16.476583,B,0.0
R8,43.108194,-16.476583,B,0.0
R8,65.113029,-50.559418,B,0.0
R8,21.103359,-16.476583,B,0.0
R8,43.108194,-84.642253,B,0.0
R8,87.117864,-84.642253,B,0.0
R8,21.103359,-84.642253,B,0.0
R8,43.108194,-50.559418,B,0.0
R8,87.117864,-50.559418,B,0.0
R8,21.103359,-50.559418,B,0.0
U1,60.536029,-14.110583,T,270.0
U1,82.540864,-48.193418,T,270.0
U1,38.531194,-48.193418,T,270.0
U1,60.536029,-82.276253,T,270.0
U1,82.540864,-82.276253,T,270.0
U1,60.536029,-48.193418,T,270.0
U1,16.526359,-14.110583,T,270.0
U1,82.540864,-14.110583,T,270.0
U1,38.531194,-82.276253,T,270.0
U1,38.531194,-14.110583,T,270.0
U1,16.526359,-48.193418,T,270.0
U1,16.526359,-82.276253,T,270.0
U2,11.003359,-51.359418,B,270.0
U2,33.008194,-17.276583,B,270.0
U2,55.013029,-17.276583,B,270.0
U2,33.008194,-51.359418,B,270.0
U2,11.003359,-85.442253,B,270.0
U2,33.008194,-85.442253,B,270.0
U2,55.013029,-85.442253,B,270.0
U2,77.017864,-51.359418,B,270.0
U2,77.017864,-85.442253,B,270.0
U2,55.013029,-51.359418,B,270.0
U2,11.003359,-17.276583,B,270.0
U2,77.017864,-17.276583,B,270.0
U3,80.889864,-45.859418,B,270.0
U3,80.889864,-11.776583,B,270.0
U3,14.875359,-79.942253,B,270.0
U3,58.885029,-79.942253,B,270.0
U3,36.880194,-79.942253,B,270.0
U3,58.885029,-11.776583,B,270.0
U3,36.880194,-11.776583,B,270.0
U3,14.875359,-11.776583,B,270.0
U3,58.885029,-45.859418,B,270.0
U3,36.880194,-45.859418,B,270.0
U3,14.875359,-45.859418,B,270.0
U3,80.889864,-79.942253,B,270.0
U5,34.403694,-23.064083,B,90.0
U5,78.413364,-57.146918,B,90.0
U5,12.398859,-23.064083,B,90.0
U5,56.408529,-57.146918,B,90.0
U5,56.408529,-23.064083,B,90.0
U5,12.398859,-57.146918,B,90.0
U5,34.403694,-57.146918,B,90.0
U5,34.403694,-91.229753,B,90.0
U5,78.413364,-91.229753,B,90.0
U5,56.408529,-91.229753,B,90.0
U5,12.398859,-91.229753,B,90.0
U5,78.413364,-23.064083,B,90.0
U6,38.531194,-57.146918,B,90.0
U6,82.540864,-91.229753,B,90.0
U6,38.531194,-23.064083,B,90.0
U6,60.536029,-57.146918,B,90.0
U6,60.536029,-91.229753,B,90.0
U6,16.526359,-57.146918,B,90.0
U6,16.526359,-23.064083,B,90.0
U6,38.531194,-91.229753,B,90.0
U6,82.540864,-23.064083,B,90.0
U6,60.536029,-23.064083,B,90.0
U6,82.540864,-57.146918,B,90.0
U6,16.526359,-91.229753,B,90.0
U7,20.590359,-23.064083,B,90.0
U7,64.600029,-57.146918,B,90.0
U7,42.595194,-57.146918,B,90.0
U7,86.604864,-57.146918,B,90.0
U7,64.600029,-23.064083,B,90.0
U7,86.604864,-91.229753,B,90.0
U7,86.604864,-23.064083,B,90.0
U7,42.595194,-23.064083,B,90.0
U7,20.590359,-57.146918,B,90.0
U7,64.600029,-91.229753,B,90.0
U7,20.590359,-91.229753,B,90.0
U7,42.595194,-91.229753,B,90.0
